epimutation_rate_estimation_window_gene_0 alpha beta weight intercept value
Nelder-Mead1726 5.7985750419976e-05 0.00655710970515347 0.0306958517646129 5.96083073236131e-05 5.26475086020599e-05
Nelder-Mead1446 5.80023282421507e-05 0.00655902919092282 0.0306534639195672 5.94917602476385e-05 5.26475088224508e-05
Nelder-Mead1780 5.79912458191154e-05 0.00655772851520602 0.030727931228082 5.94022750930331e-05 5.26475088945833e-05
Nelder-Mead1619 5.79843170476857e-05 0.00655694563293388 0.0306393103393494 5.97368648576198e-05 5.26475090468885e-05
Nelder-Mead1564 5.79886925150525e-05 0.00655742609458427 0.0307113222359521 5.94126660474313e-05 5.26475092237307e-05
Nelder-Mead630 5.80045626453988e-05 0.00655929883199375 0.0306045961226321 5.95840322598613e-05 5.26475094476285e-05
Nelder-Mead238 5.80058767373575e-05 0.00655944339542086 0.0307090924709064 5.92245158317663e-05 5.26475098666733e-05
Nelder-Mead674 5.79911752131843e-05 0.00655765196615304 0.0306750072726056 5.96762918766835e-05 5.26475100751696e-05
Nelder-Mead762 5.79932655193938e-05 0.00655796073436301 0.0307480649658498 5.92340688408081e-05 5.26475103251124e-05
Nelder-Mead128 5.7979427154309e-05 0.00655633799826876 0.0306718795405569 5.96245477813587e-05 5.264751037538e-05
