time0 time1 time2 D.value
0 0 1 0
0 0 1 0
0 0 2 0.00137
0 0 2 0
0 0 4 0
0 0 4 0.00137
0 0 5 0.00137
0 0 5 0.00068
0 0 8 0.00137
0 0 8 0.00068
0 0 11 0.00273
0 0 11 0.00137
0 1 1 0
1 1 2 0
0 1 2 0
1 1 4 0
0 1 4 0.00136
1 1 5 0
0 1 5 0
1 1 8 0
0 1 8 0
1 1 11 0.00068
0 1 11 0.00068
0 1 2 0.00136
1 1 2 0
0 1 4 0
1 1 4 0.00204
0 1 5 0.00204
1 1 5 0.00068
0 1 8 0.00136
1 1 8 0.00068
0 1 11 0.00341
1 1 11 0.00136
0 2 2 0
2 2 4 0
0 2 4 0.00136
2 2 5 0
0 2 5 0.00204
2 2 8 0
0 2 8 0.00205
2 2 11 0.00205
0 2 11 0.00205
0 2 4 0
2 2 4 0.00204
0 2 5 0
2 2 5 0.00067
0 2 8 0
2 2 8 0.00068
0 2 11 0.00204
2 2 11 0.00136
0 4 4 0.00069
4 4 5 0
0 4 5 0
4 4 8 0
0 4 8 0
4 4 11 0
0 4 11 0.00069
0 4 5 0.00272
4 4 5 0.00135
0 4 8 0.00136
4 4 8 0.00136
0 4 11 0.00272
4 4 11 0.00136
0 5 5 0.00203
5 5 8 0.00068
0 5 8 0.00273
5 5 11 0.00272
0 5 11 0.0034
0 5 8 0.00136
5 5 8 0
0 5 11 0.00272
5 5 11 0.00067
0 8 8 0.00136
8 8 11 0.00136
0 8 11 0.00136
0 8 11 0.00136
8 8 11 0
0 11 11 0.00272
