Alpha	0.0006715779119927429
Beta	0.0018846043530578946
AlphaBeta	2.806176310477082
Weight	0.032989720466934054
Intercept	0.0022054674357786337
PrMM	0.260762955341179
PrUM	0.003935881055618743
PrUU	0.7353011636032022
SDAlpha	0.000030254686609305024
SDBeta	0.00008576048809466727
SDAlphaBeta	0.0012795675210966189
SDWeight	0.003562837074137439
SDIntercept	0.00038385446543706025
SDPrMM	0.00017664903939048094
SDPrUM	0.00017664909915434868
SDPrUU	0.00000000020114923782336376
CIAlpha	0.0006113299850318954-0.0007308029448071953
CIBeta	0.0017139425470307542-0.0020525929239075353
CIAlphaBeta	2.8036288749680094-2.8086817143502523
CIWeight	0.024785339204023257-0.03898572970138648
CIIntercept	0.0016123855893087895-0.003036097998875465
CIPrMM	0.2604172403599801-0.2611148186040993
CIPrUM	0.003584017754809079-0.0042815962657843775
CIPrUU	0.7353011631784901-0.7353011639159814
