time0	time1	time2	D.value
0	0	1	0.006064553304765615
0	0	1	0.006423029201901849
0	0	2	0.006391696403769311
0	0	2	0.00809199489900595
0	0	4	0.008882722150767098
0	0	4	0.010393136575482327
0	0	5	0.00911674519482462
0	0	5	0.009990729622110122
0	0	8	0.011499927537115219
0	0	8	0.013563027994036773
0	0	11	0.014225666729127937
0	0	11	0.019010492979831473
0	1	1	0.0075971362213842295
1	1	2	0.00611845545617955
0	1	2	0.009286761713425623
1	1	4	0.008661997541058418
0	1	4	0.01181278521399789
1	1	5	0.008736470140887546
0	1	5	0.01129527132715678
1	1	8	0.011257356512112461
0	1	8	0.014891295074055351
1	1	11	0.01401819035646872
0	1	11	0.020219329575442195
0	1	2	0.010143101407680212
1	1	2	0.004831491899248363
0	1	4	0.012249295586033193
1	1	4	0.007477237346115242
0	1	5	0.01195382965528276
1	1	5	0.007178019627778099
0	1	8	0.014309004974010565
1	1	8	0.01098721965582791
0	1	11	0.016853888136545307
1	1	11	0.016458019636879505
0	2	2	0.011700628713274193
2	2	4	0.006778343667840011
0	2	4	0.014260130289004474
2	2	5	0.0069143322883688605
0	2	5	0.0136235601993
2	2	8	0.009482554518737358
0	2	8	0.01728221240402602
2	2	11	0.012614361500129375
0	2	11	0.022721079537403398
0	2	4	0.013896628448389367
2	2	4	0.006996463505357432
0	2	5	0.013536659376246747
2	2	5	0.007270706537490167
0	2	8	0.015875862783439738
2	2	8	0.011132078084421512
0	2	11	0.018495515219270325
2	2	11	0.016667173575838683
0	4	4	0.016166936366540458
4	4	5	0.005328914780436327
0	4	5	0.015159054080404511
4	4	8	0.008204010462074978
0	4	8	0.018761475108849603
4	4	11	0.011310013232995334
0	4	11	0.024295171719038115
0	4	5	0.0158393094255532
4	4	5	0.005011777454441856
0	4	8	0.01806600511258774
4	4	8	0.009270440531136482
0	4	11	0.020695932227123154
4	4	11	0.014989719361194698
0	5	5	0.014528198048984234
5	5	8	0.004135936767751344
0	5	8	0.018165684264479755
5	5	11	0.007591243174309953
0	5	11	0.02369730930009016
0	5	8	0.01686194653436581
5	5	8	0.004603527844472522
0	5	11	0.019381846491791418
5	5	11	0.010100367735131918
0	8	8	0.020315259878971835
8	8	11	0.004807453805362416
0	8	11	0.026034884496685257
0	8	11	0.022893360402308605
8	8	11	0.007564195425684375
0	11	11	0.028181325640909086
