time0 time1 time2 D.value
0 3 3 0.00551
0 3 3 0.00585
0 3 31 0.0121
0 3 31 0.01266
0 3 31 0.01206
0 3 31 0.01235
0 3 31 0.01121
0 3 31 0.01156
0 3 31 0.01198
0 3 31 0.01155
0 3 31 0.01142
0 3 31 0.01279
0 3 31 0.01318
0 3 31 0.01181
0 3 31 0.00977
0 3 31 0.01164
0 3 31 0.00965
0 3 31 0.01201
0 3 31 0.01179
0 3 31 0.00934
0 3 31 0.0109
0 3 31 0.01146
0 3 32 0.01092
0 3 32 0.01143
0 3 32 0.01079
0 3 32 0.01038
2 3 3 0.00622
0 3 31 0.01281
0 3 31 0.01292
0 3 31 0.01268
0 3 31 0.01234
0 3 31 0.01137
0 3 31 0.01176
0 3 31 0.01209
0 3 31 0.01215
0 3 31 0.01211
0 3 31 0.01336
0 3 31 0.01301
0 3 31 0.0121
0 3 31 0.0102
0 3 31 0.01167
0 3 31 0.00994
0 3 31 0.01193
0 3 31 0.01194
0 3 31 0.00982
0 3 31 0.01119
0 3 31 0.01183
0 3 32 0.01108
0 3 32 0.01167
0 3 32 0.01107
0 3 32 0.01089
0 3 31 0.01197
0 3 31 0.01236
0 3 31 0.01192
0 3 31 0.01221
0 3 31 0.01109
0 3 31 0.01151
0 3 31 0.01194
0 3 31 0.0116
0 3 31 0.01137
0 3 31 0.01297
0 3 31 0.01308
0 3 31 0.01179
0 3 31 0.00982
0 3 31 0.01148
0 3 31 0.00955
0 3 31 0.01188
0 3 31 0.0117
0 3 31 0.0094
0 3 31 0.01094
0 3 31 0.01151
0 3 32 0.0108
0 3 32 0.0112
0 3 32 0.0106
0 3 32 0.01023
30 31 31 0.00328
30 31 31 0.00079
0 31 31 0.01699
0 31 31 0.01551
0 31 31 0.01587
0 31 31 0.01638
0 31 31 0.01543
0 31 31 0.01532
0 31 31 0.01741
0 31 31 0.01802
0 31 31 0.01619
0 31 31 0.01387
0 31 31 0.01601
0 31 31 0.01372
0 31 31 0.01649
0 31 31 0.01653
0 31 31 0.0135
0 31 31 0.01514
0 31 31 0.01566
0 31 32 0.01547
0 31 32 0.01626
0 31 32 0.01541
0 31 32 0.01485
30 31 31 0.00321
0 31 31 0.01709
0 31 31 0.01588
0 31 31 0.01614
0 31 31 0.0165
0 31 31 0.01579
0 31 31 0.01597
0 31 31 0.01789
0 31 31 0.0184
0 31 31 0.01664
0 31 31 0.01444
0 31 31 0.01634
0 31 31 0.01427
0 31 31 0.01674
0 31 31 0.01682
0 31 31 0.01395
0 31 31 0.01555
0 31 31 0.0161
0 31 32 0.01576
0 31 32 0.01666
0 31 32 0.01587
0 31 32 0.01541
0 31 31 0.01687
0 31 31 0.01536
0 31 31 0.0157
0 31 31 0.01621
0 31 31 0.01534
0 31 31 0.01524
0 31 31 0.01724
0 31 31 0.01786
0 31 31 0.0161
0 31 31 0.0138
0 31 31 0.01587
0 31 31 0.01365
0 31 31 0.01631
0 31 31 0.01638
0 31 31 0.0134
0 31 31 0.01506
0 31 31 0.01555
0 31 32 0.01535
0 31 32 0.01615
0 31 32 0.01527
0 31 32 0.01474
30 31 31 0.00307
0 31 31 0.01616
0 31 31 0.01633
0 31 31 0.01419
0 31 31 0.01608
0 31 31 0.01773
0 31 31 0.01763
0 31 31 0.01625
0 31 31 0.01421
0 31 31 0.01599
0 31 31 0.01398
0 31 31 0.01633
0 31 31 0.01625
0 31 31 0.01378
0 31 31 0.01533
0 31 31 0.01593
30 31 32 0.00379
30 31 32 0.00419
0 31 32 0.01561
0 31 32 0.01534
0 31 31 0.01483
0 31 31 0.01524
0 31 31 0.0134
0 31 31 0.01467
0 31 31 0.01642
0 31 31 0.01626
0 31 31 0.01492
0 31 31 0.01294
0 31 31 0.01478
0 31 31 0.01273
0 31 31 0.01513
0 31 31 0.015
0 31 31 0.0126
0 31 31 0.01415
0 31 31 0.01465
30 31 32 0.00328
30 31 32 0.00338
0 31 32 0.01425
0 31 32 0.01392
30 31 31 0.00279
0 31 31 0.01461
0 31 31 0.01462
0 31 31 0.01666
0 31 31 0.01689
0 31 31 0.01545
0 31 31 0.01342
0 31 31 0.01515
0 31 31 0.01315
0 31 31 0.01555
0 31 31 0.01566
0 31 31 0.013
0 31 31 0.01461
0 31 31 0.01515
0 31 32 0.0143
0 31 32 0.01551
30 31 32 0.00292
30 31 32 0.00267
0 31 31 0.01479
0 31 31 0.01517
0 31 31 0.01705
0 31 31 0.0174
0 31 31 0.01583
0 31 31 0.01385
0 31 31 0.01558
0 31 31 0.01366
0 31 31 0.01596
0 31 31 0.01609
0 31 31 0.01345
0 31 31 0.01498
0 31 31 0.01555
0 31 32 0.01464
0 31 32 0.01589
30 31 32 0.00337
30 31 32 0.00295
30 31 31 0.00325
0 31 31 0.01629
0 31 31 0.0176
0 31 31 0.01538
0 31 31 0.01321
0 31 31 0.01528
0 31 31 0.01326
0 31 31 0.01571
0 31 31 0.01584
0 31 31 0.01271
0 31 31 0.01428
0 31 31 0.01475
0 31 32 0.01345
0 31 32 0.01453
0 31 32 0.01487
0 31 32 0.0143
0 31 31 0.01636
0 31 31 0.01679
0 31 31 0.01531
0 31 31 0.013
0 31 31 0.01505
0 31 31 0.01287
0 31 31 0.01553
0 31 31 0.01552
0 31 31 0.01262
0 31 31 0.01441
0 31 31 0.01484
0 31 32 0.01453
0 31 32 0.01522
0 31 32 0.01419
0 31 32 0.01368
30 31 31 0.00373
0 31 31 0.01685
0 31 31 0.01327
0 31 31 0.01661
0 31 31 0.01356
0 31 31 0.01704
0 31 31 0.01689
0 31 31 0.01313
0 31 31 0.01585
0 31 31 0.01621
0 31 32 0.01617
0 31 32 0.01712
0 31 32 0.01627
0 31 32 0.01578
0 31 31 0.01701
0 31 31 0.01345
0 31 31 0.01651
0 31 31 0.01346
0 31 31 0.01681
0 31 31 0.01658
0 31 31 0.01353
0 31 31 0.0162
0 31 31 0.01668
0 31 32 0.01578
0 31 32 0.01636
0 31 32 0.0157
0 31 32 0.01548
30 31 31 0.00277
0 31 31 0.01511
0 31 31 0.01303
0 31 31 0.0155
0 31 31 0.01564
0 31 31 0.01284
0 31 31 0.01439
0 31 31 0.01502
0 31 32 0.01474
0 31 32 0.01548
0 31 32 0.01488
0 31 32 0.01449
0 31 31 0.01298
0 31 31 0.0108
0 31 31 0.01337
0 31 31 0.01368
0 31 31 0.01082
0 31 31 0.01226
0 31 31 0.01267
0 31 32 0.01288
0 31 32 0.0134
0 31 32 0.01281
0 31 32 0.0124
30 31 31 0.00312
30 31 31 0.00096
0 31 31 0.01513
0 31 31 0.01237
0 31 31 0.01404
0 31 31 0.01452
0 31 32 0.01448
0 31 32 0.0152
0 31 32 0.01454
0 31 32 0.01415
30 31 31 0.00331
0 31 31 0.01325
0 31 31 0.01041
0 31 31 0.01197
0 31 31 0.01232
0 31 32 0.01257
0 31 32 0.01295
0 31 32 0.0123
0 31 32 0.01194
0 31 31 0.01545
0 31 31 0.01272
0 31 31 0.01443
0 31 31 0.01494
0 31 32 0.01484
0 31 32 0.01563
0 31 32 0.01491
0 31 32 0.01462
30 31 31 0.00319
0 31 31 0.01379
0 31 31 0.01522
0 31 32 0.01476
0 31 32 0.01546
0 31 32 0.01491
0 31 32 0.01466
0 31 31 0.01091
0 31 31 0.01163
0 31 32 0.01256
0 31 32 0.01317
0 31 32 0.01264
0 31 32 0.01217
30 31 31 0.00263
0 31 32 0.01399
0 31 32 0.01471
0 31 32 0.01418
0 31 32 0.01373
0 31 32 0.0146
0 31 32 0.01535
0 31 32 0.01481
0 31 32 0.01436
31 32 32 0.00299
0 32 32 0.01345
0 32 32 0.01325
0 32 32 0.0139
0 32 32 0.01367
31 32 32 0.00291
