seqnames	start	strand	context	counts.methylated	counts.total	posteriorMax	status	rc.meth.lvl
1	91344	+	CG	0	9	0.9999	U	0.0023
1	237900	-	CG	0	8	0.9999	U	0.0023
1	237902	-	CG	0	7	0.9999	U	0.0023
1	246049	-	CG	0	7	0.9999	U	0.0023
1	338243	+	CG	0	8	0.9999	U	0.0023
1	575083	-	CG	0	11	0.9996	U	0.0025
1	775531	+	CG	0	4	0.9991	U	0.0027
1	864367	-	CG	0	15	0.9999	U	0.0023
1	1051313	+	CG	0	13	0.9999	U	0.0023
1	1051316	+	CG	0	13	0.9999	U	0.0023
1	1071076	-	CG	0	12	0.9999	U	0.0023
1	1183702	-	CG	0	8	0.9999	U	0.0023
1	1344990	+	CG	0	7	0.9999	U	0.0023
1	1373102	-	CG	1	14	0.9999	U	0.0024
1	1564496	+	CG	0	6	0.9994	U	0.0026
1	1701062	-	CG	0	10	0.9999	U	0.0023
1	1732802	+	CG	0	11	0.9999	U	0.0023
1	1963186	-	CG	0	23	0.9999	U	0.0023
1	2024746	-	CG	0	10	0.9999	U	0.0023
1	2120741	-	CG	0	13	0.9999	U	0.0023
1	2120744	-	CG	0	13	0.9999	U	0.0023
1	2184191	-	CG	0	8	0.9999	U	0.0024
1	2304437	+	CG	0	8	0.9999	U	0.0023
1	2344312	-	CG	0	7	0.9999	U	0.0023
1	2445442	+	CG	0	7	0.9998	U	0.0024
1	2838854	-	CG	0	5	0.9998	U	0.0024
1	2946030	+	CG	0	11	0.9999	U	0.0023
1	2982708	-	CG	0	13	0.9999	U	0.0023
1	3140866	+	CG	0	5	0.9998	U	0.0024
1	3154402	-	CG	0	7	0.9999	U	0.0023
1	3224537	-	CG	0	4	0.9997	U	0.0024
1	3595219	-	CG	0	9	0.9999	U	0.0023
1	3681682	+	CG	0	6	0.9997	U	0.0024
1	3753213	+	CG	0	7	0.9996	U	0.0025
1	3837675	-	CG	0	12	0.9999	U	0.0023
1	3837694	+	CG	0	18	0.9999	U	0.0023
1	4374208	+	CG	0	15	0.9999	U	0.0023
1	4473316	-	CG	0	10	0.9999	U	0.0023
1	4733864	-	CG	0	16	0.9999	U	0.0023
1	5590757	-	CG	0	11	0.9999	U	0.0023
1	5673598	-	CG	0	9	0.9999	U	0.0023
1	5955139	-	CG	0	14	0.9999	U	0.0023
1	5997028	-	CG	0	10	0.9999	U	0.0023
1	6088377	-	CG	0	11	0.9999	U	0.0023
1	6088380	-	CG	0	11	0.9999	U	0.0023
1	6098439	-	CG	0	8	0.9992	U	0.0026
1	6116612	-	CG	0	12	0.9999	U	0.0023
1	6152220	-	CG	0	3	0.9999	U	0.0023
1	6360340	-	CG	0	18	0.9999	U	0.0023
1	6360342	-	CG	0	17	0.9999	U	0.0023
1	6405608	+	CG	0	4	0.9999	U	0.0023
1	6433521	+	CG	0	6	0.9998	U	0.0024
1	6504564	-	CG	0	12	0.9999	U	0.0023
1	6692565	-	CG	0	10	0.9999	U	0.0023
1	6728749	+	CG	0	6	0.9998	U	0.0024
1	6774686	+	CG	0	14	0.9999	U	0.0023
1	7061442	+	CG	0	7	0.9999	U	0.0023
1	7407868	-	CG	0	13	0.9999	U	0.0023
1	8130455	-	CG	0	9	0.9999	U	0.0023
1	8532258	-	CG	0	6	0.9999	U	0.0023
1	8532260	-	CG	0	6	0.9999	U	0.0023
1	8620662	-	CG	0	6	0.9999	U	0.0023
1	8951166	+	CG	0	8	0.9999	U	0.0024
1	8999915	-	CG	0	9	0.9999	U	0.0023
1	9027953	-	CG	0	15	0.9999	U	0.0023
1	9107520	+	CG	0	5	0.9999	U	0.0023
1	9343116	+	CG	0	5	0.9998	U	0.0024
1	9373889	+	CG	0	5	0.9999	U	0.0023
1	9531486	-	CG	0	8	0.9999	U	0.0023
1	9558564	+	CG	0	11	0.9999	U	0.0023
1	9924483	-	CG	0	3	0.9998	U	0.0024
1	10174165	+	CG	0	9	0.9998	U	0.0024
1	10252244	+	CG	0	14	0.9999	U	0.0023
1	10447750	-	CG	0	3	0.9998	U	0.0024
1	10646193	-	CG	0	10	0.9999	U	0.0023
1	10775424	-	CG	0	7	0.9999	U	0.0023
1	10909757	-	CG	0	20	0.9999	U	0.0023
1	11056958	-	CG	0	6	0.9999	U	0.0023
1	11359513	+	CG	0	5	0.9999	U	0.0023
1	11372196	-	CG	0	8	0.9999	U	0.0023
1	11416442	-	CG	0	12	0.9999	U	0.0023
1	11565494	+	CG	0	6	0.9997	U	0.0024
1	11797218	-	CG	0	10	0.9999	U	0.0023
1	11840914	+	CG	0	14	0.9999	U	0.0023
1	11856760	-	CG	0	7	0.9999	U	0.0023
1	11914732	-	CG	0	2	0.9998	U	0.0024
1	12401032	-	CG	0	17	0.9999	U	0.0023
1	12485319	+	CG	0	2	0.9978	U	0.0033
1	13055092	-	CG	0	8	0.9999	U	0.0023
1	13220471	+	CG	11	12	0.9998	M	0.877
1	13470935	-	CG	0	14	0.9999	U	0.0023
1	13640509	+	CG	0	8	0.9999	U	0.0023
1	16794823	+	CG	0	17	0.9999	U	0.0023
1	16851269	-	CG	0	8	0.9999	U	0.0023
1	16970216	+	CG	0	12	0.9999	U	0.0023
1	17183232	-	CG	0	5	0.9999	U	0.0023
1	17477579	+	CG	0	14	0.9999	U	0.0023
1	17758507	-	CG	0	8	0.9999	U	0.0023
1	17892631	-	CG	0	12	0.9999	U	0.0023
1	17940053	+	CG	1	18	0.9999	U	0.0023
1	17965876	+	CG	0	4	0.9998	U	0.0024
1	18039404	-	CG	0	0	0.9999	U	0.0023
1	18041381	+	CG	5	8	0.9132	M	0.8392
1	18047802	-	CG	0	13	0.9999	U	0.0023
1	18047804	-	CG	0	11	0.9999	U	0.0023
1	18513629	+	CG	0	16	0.9999	U	0.0023
1	18672133	+	CG	0	11	0.9999	U	0.0023
1	18685648	-	CG	0	11	0.9999	U	0.0023
1	18748243	+	CG	0	8	0.9999	U	0.0023
1	18770940	+	CG	0	4	0.9996	U	0.0025
1	19057475	+	CG	0	5	0.9998	U	0.0024
1	19191466	+	CG	0	8	0.9999	U	0.0023
1	19565604	+	CG	0	11	0.9999	U	0.0023
1	19587527	-	CG	0	8	0.9999	U	0.0023
1	19587605	+	CG	3	6	0.8694	I	0.4968
1	19843496	-	CG	0	12	0.9999	U	0.0023
1	20081645	+	CG	0	6	0.9995	U	0.0025
1	20101303	+	CG	0	11	0.9999	U	0.0023
1	20189472	+	CG	0	7	0.9999	U	0.0023
1	20199188	-	CG	0	11	0.9999	U	0.0023
1	20201808	+	CG	0	7	0.9998	U	0.0024
1	20300975	-	CG	0	13	0.9999	U	0.0023
1	20397292	-	CG	0	9	0.9999	U	0.0023
1	20580279	+	CG	0	18	0.9999	U	0.0023
1	20743183	-	CG	0	6	0.9999	U	0.0023
1	20743186	-	CG	0	6	0.9999	U	0.0023
1	20793577	-	CG	0	9	0.9999	U	0.0023
1	20807935	-	CG	0	3	0.9933	U	0.0052
1	21141642	-	CG	0	4	0.9999	U	0.0023
1	21159737	+	CG	0	13	0.9999	U	0.0023
1	21364744	-	CG	0	5	0.9999	U	0.0023
1	21562963	-	CG	0	4	0.9999	U	0.0023
1	21667627	-	CG	0	20	0.9999	U	0.0023
1	21923986	+	CG	0	7	0.9999	U	0.0023
1	21923990	+	CG	0	6	0.9999	U	0.0023
1	22011305	+	CG	0	5	0.9999	U	0.0023
1	22043643	+	CG	0	8	0.9999	U	0.0023
1	22181738	-	CG	0	17	0.9999	U	0.0023
1	22205399	-	CG	0	24	0.9999	U	0.0023
1	22261755	+	CG	0	13	0.9999	U	0.0023
1	22423897	+	CG	0	5	0.9998	U	0.0024
1	22477899	+	CG	0	11	0.9999	U	0.0023
1	22542405	+	CG	0	15	0.9999	U	0.0023
1	22911161	+	CG	1	8	0.9966	U	0.0038
1	22968997	-	CG	0	9	0.9999	U	0.0023
1	23039784	-	CG	0	2	0.9998	U	0.0024
1	23664788	-	CG	0	15	0.9999	U	0.0023
1	23740496	+	CG	0	2	0.9989	U	0.0028
1	23812720	-	CG	0	8	0.9999	U	0.0023
1	23812722	-	CG	0	8	0.9999	U	0.0023
1	23899999	+	CG	0	9	0.9999	U	0.0023
1	23995913	+	CG	0	7	0.9997	U	0.0024
1	24093498	+	CG	0	20	0.9999	U	0.0023
1	24417768	-	CG	0	6	0.9999	U	0.0023
1	24424064	-	CG	0	17	0.9999	U	0.0023
1	24424067	-	CG	0	17	0.9999	U	0.0023
1	24466884	-	CG	0	14	0.9999	U	0.0023
1	24551142	-	CG	0	4	0.9999	U	0.0023
1	24822408	-	CG	0	19	0.9999	U	0.0023
1	24861817	-	CG	0	10	0.9994	U	0.0025
1	24909182	+	CG	0	21	0.9999	U	0.0023
1	25286744	-	CG	0	3	0.9998	U	0.0024
1	25653017	-	CG	0	11	0.9999	U	0.0023
1	25896856	+	CG	0	13	0.9999	U	0.0023
1	25940992	-	CG	0	4	0.9999	U	0.0024
1	25971537	-	CG	0	8	0.9999	U	0.0023
1	25971541	-	CG	0	8	0.9999	U	0.0023
1	26032639	+	CG	0	13	0.9999	U	0.0023
1	26204791	-	CG	0	10	0.9999	U	0.0023
1	26426271	+	CG	0	15	0.9999	U	0.0023
1	26699325	+	CG	0	7	0.9998	U	0.0024
1	26841554	+	CG	0	4	0.9995	U	0.0025
1	26939572	+	CG	0	10	0.9999	U	0.0023
